127.0.0.1, 2017-02-04 20:27:43, GET, /ssllabs/static/css/calendar.css, HTTP/1.1, 200, 0.000410
127.0.0.1, 2017-02-04 20:27:43, GET, /ssllabs/static/js/share.js, HTTP/1.1, 200, 0.000852
127.0.0.1, 2017-02-04 20:27:43, GET, /ssllabs/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000370
127.0.0.1, 2017-02-04 20:27:44, GET, /ssllabs/static/images/background.jpg, HTTP/1.1, 200, 0.000288
127.0.0.1, 2017-02-04 20:27:44, GET, /ssllabs/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000307
127.0.0.1, 2017-02-04 20:27:44, GET, /ssllabs/static/images/twitter.png, HTTP/1.1, 200, 0.000355
127.0.0.1, 2017-02-04 20:27:44, GET, /ssllabs/static/images/facebook.png, HTTP/1.1, 200, 0.000252
127.0.0.1, 2017-02-04 20:27:44, GET, /ssllabs/static/images/gplus-32.png, HTTP/1.1, 200, 0.000399
127.0.0.1, 2017-02-04 20:27:44, GET, /ssllabs/static/images/favicon.ico, HTTP/1.1, 200, 0.000374
192.168.202.1, 2017-02-04 20:34:10, GET, /, HTTP/1.1, 303, 0.000873
192.168.202.1, 2017-02-04 20:34:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.076848
192.168.202.1, 2017-02-04 20:34:11, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000753
192.168.202.1, 2017-02-04 20:34:11, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000321
192.168.202.1, 2017-02-04 20:34:11, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000390
192.168.202.1, 2017-02-04 20:34:11, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000264
192.168.202.1, 2017-02-04 20:34:11, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000278
192.168.202.1, 2017-02-04 20:34:11, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000690
192.168.202.1, 2017-02-04 20:34:11, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000288
192.168.202.1, 2017-02-04 20:34:11, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001176
192.168.202.1, 2017-02-04 20:34:11, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000292
192.168.202.1, 2017-02-04 20:34:11, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000554
192.168.202.1, 2017-02-04 20:34:11, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000508
192.168.202.1, 2017-02-04 20:34:11, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000545
192.168.202.1, 2017-02-04 20:34:11, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000464
192.168.202.1, 2017-02-04 20:34:11, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001191
